iter	RMSE
0	0.7572775246
1	0.6653534914
2	0.5972587969
3	0.54139195
4	0.496432813
5	0.4584197504
6	0.4310906916
7	0.4067435886
8	0.3870773678
9	0.3708047906
10	0.3580244052
11	0.3487590552
12	0.3401696619
13	0.3325138325
14	0.3270518101
15	0.322676736
16	0.3188324347
17	0.3153307669
18	0.3131075083
19	0.3109379182
20	0.3089355482
21	0.307332576
22	0.3058014653
23	0.3046659531
24	0.3037946114
25	0.3029441629
26	0.3024349696
27	0.3017744877
28	0.3012854875
29	0.3009530206
30	0.3005459632
31	0.3000193081
32	0.2997973983
33	0.2995093081
34	0.2991742456
35	0.298946166
36	0.2986428621
37	0.2984010654
38	0.298130498
39	0.2978992273
40	0.2976916087
41	0.2974963988
42	0.2973223906
43	0.2971747637
44	0.2970476711
45	0.2969011027
46	0.2967837381
47	0.2965205643
48	0.2963789397
49	0.2961057127
50	0.2959804428
51	0.2958512218
52	0.2957270635
53	0.2955966087
54	0.2954725661
55	0.2953379001
56	0.2952185666
57	0.2951510525
58	0.2950675401
59	0.2948442329
60	0.2947997181
61	0.29461962
62	0.2944811725
63	0.2943672469
64	0.294080143
65	0.2939324551
66	0.2938161351
67	0.2934321713
68	0.2932676762
69	0.2930044013
70	0.2928252708
71	0.2925464065
72	0.2924362972
73	0.2922764506
74	0.292181862
75	0.2920261684
76	0.2919599058
77	0.2918543407
78	0.2915944514
79	0.2914187653
80	0.2912810266
81	0.2910719613
82	0.2907827355
83	0.2907087672
84	0.2906673998
85	0.2905751731
86	0.2904769962
87	0.2903804319
88	0.2902528686
89	0.2901137576
90	0.2899803038
91	0.2899232076
92	0.2898546871
93	0.2896707439
94	0.289618883
95	0.2895304242
96	0.2893660747
97	0.2892965419
98	0.2892514998
99	0.2891275955
100	0.288997469
101	0.2889015989
102	0.2887821525
103	0.288704242
104	0.2886038124
105	0.28855172
106	0.2883511463
107	0.2882734569
108	0.2881459937
109	0.2880678317
110	0.2879454852
111	0.2878086099
112	0.2876428488
113	0.2875268507
114	0.2873889296
115	0.2871905531
116	0.2871404069
117	0.2870055905
118	0.28689918
119	0.2867959729
120	0.2866566819
121	0.286516534
122	0.2864690969
123	0.2863445883
124	0.2860814643
125	0.2859766813
126	0.285895724
127	0.2857657082
128	0.2856192819
129	0.2854614224
130	0.2853669817
131	0.2852225882
132	0.2851215646
133	0.2850846163
134	0.2850615175
135	0.2849196911
136	0.2848475357
137	0.2847714631
138	0.2845508972
139	0.2844536894
140	0.284346183
141	0.284264691
142	0.284147203
143	0.2840976075
144	0.2840672356
145	0.2840005973
146	0.2838498024
147	0.2837904845
148	0.2835961803
149	0.2834766689
150	0.2834005009
151	0.2833056661
152	0.2831157395
153	0.2830584213
154	0.2829722603
155	0.2828227891
156	0.282784913
157	0.2827016145
158	0.2826312926
159	0.2824814991
160	0.2823762619
161	0.2822947284
162	0.2821747671
163	0.2820699938
164	0.2820347462
165	0.2819833279
166	0.2819271193
167	0.2818752143
168	0.2817670898
169	0.2816378403
170	0.2815985244
171	0.281493191
172	0.2813656668
173	0.2813007588
174	0.2811702161
175	0.2810868667
176	0.2809564894
177	0.2809036614
178	0.2808461566
179	0.2807576247
180	0.2807169521
181	0.2806477134
182	0.2805501732
183	0.2804826789
184	0.2804366703
185	0.2802802925
186	0.2801903868
187	0.2801125283
188	0.2800443359
189	0.2799590259
190	0.2799152928
191	0.2797921431
192	0.2796525972
193	0.2795837398
194	0.2795053028
195	0.2794384675
196	0.2793627453
197	0.2793034479
198	0.2792408994
199	0.2792043311
200	0.2791732321
201	0.2791158629
202	0.2789937963
203	0.2789510506
204	0.2788415254
205	0.2787618118
206	0.2786575422
207	0.2785467714
208	0.2785153626
209	0.2784334693
210	0.2783524874
211	0.2783246451
212	0.2782362983
213	0.2781499297
214	0.278093255
215	0.2779102696
216	0.2778225945
217	0.2777275243
218	0.2776499749
219	0.277564723
220	0.277518179
221	0.2773430174
222	0.277296818
223	0.2772592502
224	0.2772282839
225	0.2769961329
226	0.2768802531
227	0.2768018668
228	0.2766903324
229	0.2766388828
230	0.2765902482
231	0.2764618805
232	0.2763660731
233	0.2762848167
234	0.2761998893
235	0.2761019802
236	0.276071817
237	0.2760107861
238	0.2759813077
239	0.275921688
240	0.2758193744
241	0.2757823732
242	0.2756544183
243	0.275515228
244	0.2754477778
245	0.2754029543
246	0.2752698226
247	0.2751549839
248	0.275038859
249	0.2749706364
250	0.2748393257
251	0.2747860194
252	0.2747486916
253	0.2747138067
254	0.2746774484
255	0.2746219849
256	0.2745577133
257	0.2745339372
258	0.2744640667
259	0.2743756867
260	0.2743297804
261	0.2742908255
262	0.2741901786
263	0.2741545128
264	0.2741332907
265	0.2739876771
266	0.2738704408
267	0.2738076232
268	0.2737196063
269	0.2736254323
270	0.2735368441
271	0.2734477877
272	0.2734111877
273	0.2732989607
274	0.2732456367
275	0.2731901025
276	0.2730957984
277	0.2730563216
278	0.2729773194
279	0.2729148205
280	0.2728844938
281	0.2728496328
282	0.2727351601
283	0.2726716297
