iter	Passed	Remaining
0	1	556
1	3	453
2	4	419
3	5	400
4	7	392
5	8	386
6	9	380
7	10	374
8	12	371
9	13	366
10	14	361
11	15	360
12	17	358
13	18	356
14	19	354
15	21	352
16	22	350
17	23	348
18	24	345
19	26	343
20	27	342
21	28	339
22	29	338
23	31	336
24	32	334
25	33	333
26	34	331
27	36	329
28	37	328
29	38	326
30	39	325
31	41	324
32	42	322
33	43	320
34	44	319
35	46	317
36	47	315
37	48	313
38	49	310
39	50	308
40	51	306
41	52	304
42	53	301
43	54	299
44	56	297
45	57	295
46	58	293
47	59	292
48	60	290
49	61	288
50	62	286
51	63	284
52	64	282
53	65	280
54	67	279
55	68	277
56	69	275
57	70	273
58	71	272
59	72	270
60	73	268
61	74	267
62	75	265
63	76	264
64	78	262
65	79	261
66	80	259
67	81	258
68	82	256
69	83	255
70	84	253
71	85	251
72	86	250
73	87	249
74	89	248
75	90	247
76	91	246
77	92	245
78	94	244
79	95	243
80	96	242
81	97	240
82	99	239
83	100	238
84	101	237
85	102	236
86	104	235
87	105	234
88	106	233
89	107	232
90	108	231
91	110	230
92	111	228
93	112	227
94	113	226
95	115	225
96	116	224
97	117	223
98	118	222
99	120	221
100	121	219
101	122	218
102	123	217
103	125	216
104	126	215
105	127	214
106	128	213
107	130	211
108	131	210
109	132	209
110	133	208
111	135	207
112	136	206
113	137	205
114	138	204
115	140	202
116	141	201
117	142	200
118	143	199
119	145	198
120	146	197
121	147	195
122	148	194
123	150	193
124	151	192
125	152	191
126	153	190
127	155	188
128	156	187
129	157	186
130	158	185
131	159	184
132	161	183
133	162	181
134	163	180
135	165	179
136	166	178
137	167	177
138	168	175
139	169	174
140	171	173
141	172	172
142	173	171
143	174	170
144	176	168
145	177	167
146	178	166
147	179	165
148	181	164
149	182	162
150	183	161
151	185	160
152	186	159
153	187	158
154	188	157
155	189	155
156	191	154
157	192	153
158	193	152
159	195	151
160	196	149
161	197	148
162	198	147
163	199	146
164	201	145
165	202	143
166	203	142
167	204	141
168	206	140
169	207	139
170	208	137
171	209	136
172	211	135
173	212	134
174	213	133
175	214	131
176	216	130
177	217	129
178	218	128
179	219	127
180	221	125
181	222	124
182	223	123
183	224	122
184	226	121
185	227	119
186	228	118
187	229	117
188	231	116
189	232	115
190	233	113
191	235	112
192	236	111
193	237	110
194	238	108
195	239	107
196	240	106
197	241	105
198	242	103
199	244	102
200	245	101
201	246	99
202	247	98
203	248	97
204	249	96
205	250	94
206	251	93
207	253	92
208	254	91
209	255	89
210	256	88
211	257	87
212	258	86
213	259	84
214	260	83
215	261	82
216	263	81
217	264	79
218	265	78
219	266	77
220	267	76
221	268	75
222	269	73
223	270	72
224	271	71
225	273	70
226	274	68
227	275	67
228	276	66
229	277	65
230	278	63
231	279	62
232	280	61
233	282	60
234	283	59
235	284	57
236	285	56
237	286	55
238	287	54
239	288	52
240	289	51
241	290	50
242	292	49
243	293	48
244	294	46
245	295	45
246	296	44
247	297	43
248	298	42
249	299	40
250	301	39
251	302	38
252	303	37
253	304	35
254	305	34
255	306	33
256	307	32
257	308	31
258	310	29
259	311	28
260	312	27
261	313	26
262	314	25
263	315	23
264	316	22
265	317	21
266	319	20
267	320	19
268	321	17
269	322	16
270	323	15
271	324	14
272	325	13
273	326	11
274	328	10
275	329	9
276	330	8
277	331	7
278	332	5
279	333	4
280	334	3
281	335	2
282	336	1
283	337	0
