iter	Passed	Remaining
0	284	244752
1	510	218981
2	723	206593
3	933	199679
4	1142	195394
5	1359	193478
6	1567	191066
7	1781	189741
8	1989	188157
9	2188	186031
10	2382	183863
11	2597	183567
12	2811	183158
13	2996	181078
14	3202	180381
15	3392	178949
16	3605	178809
17	3797	177646
18	4013	177655
19	4199	176394
20	4405	176025
21	4602	175320
22	4799	174676
23	4995	174014
24	5197	173612
25	5414	173684
26	5613	173184
27	5836	173438
28	6034	172907
29	6259	173182
30	6464	172871
31	6664	172438
32	6851	171705
33	7051	171314
34	7265	171250
35	7465	170869
36	7642	169985
37	7859	170005
38	8073	169966
39	8296	170078
40	8492	169642
41	8710	169642
42	8922	169522
43	9130	169320
44	9331	169012
45	9515	168378
46	9725	168226
47	9919	167803
48	10131	167682
49	10319	167174
50	10503	166617
51	10697	166226
52	10901	165987
53	11115	165903
54	11308	165517
55	11512	165279
56	11715	165048
57	11931	164981
58	12138	164791
59	12341	164557
60	12530	164127
61	12722	163750
62	12919	163437
63	13112	163083
64	13313	162832
65	13510	162539
66	13722	162417
67	13919	162126
68	14160	162331
69	14354	161996
70	14582	162048
71	14773	161683
72	14970	161390
73	15179	161234
74	15365	160826
75	15561	160524
76	15776	160428
77	15981	160227
78	16188	160038
79	16377	159677
80	16585	159510
81	16807	159467
82	17023	159366
83	17245	159314
84	17438	158993
85	17644	158798
86	17828	158407
87	18033	158201
88	18244	158050
89	18451	157860
90	18656	157657
91	18846	157330
92	19041	157038
93	19228	156688
94	19423	156411
95	19625	156185
96	19827	155963
97	20029	155742
98	20226	155481
99	20439	155339
100	20632	155047
101	20840	154875
102	21069	154847
103	21265	154586
104	21464	154341
105	21664	154102
106	21858	153829
107	22077	153726
108	22260	153375
109	22448	153061
110	22666	152950
111	22864	152703
112	23066	152483
113	23256	152185
114	23461	151991
115	23661	151763
116	23862	151536
117	24042	151183
118	24239	150936
119	24441	150722
120	24654	150577
121	24856	150363
122	25070	150221
123	25264	149954
124	25454	149669
125	25672	149552
126	25871	149318
127	26060	149032
128	26263	148826
129	26478	148688
130	26676	148450
131	26870	148193
132	27089	148073
133	27291	147861
134	27490	147633
135	27681	147361
136	27876	147115
137	28080	146915
138	28285	146716
139	28495	146547
140	28690	146302
141	28887	146065
142	29075	145781
143	29285	145615
144	29526	145595
145	29721	145351
146	29922	145133
147	30119	144900
148	30306	144616
149	30517	144449
150	30731	144293
151	30918	144016
152	31092	143676
153	31294	143468
154	31495	143253
155	31691	143017
156	31877	142739
157	32080	142532
158	32270	142273
159	32476	142086
160	32682	141896
161	32868	141617
162	33071	141416
163	33285	141260
164	33502	141117
165	33694	140869
166	33896	140662
167	34122	140550
168	34332	140375
169	34518	140105
170	34742	139986
171	34946	139785
172	35138	139537
173	35352	139379
174	35568	139225
175	35772	139026
176	36006	138939
177	36205	138718
178	36419	138556
179	36611	138309
180	36823	138139
181	37029	137944
182	37243	137780
183	37445	137569
184	37659	137405
185	37866	137214
186	38073	137025
187	38280	136834
188	38488	136643
189	38684	136413
190	38887	136207
191	39091	136007
192	39287	135774
193	39483	135545
194	39680	135319
195	39881	135107
196	40086	134911
197	40288	134700
198	40496	134512
199	40691	134280
200	40893	134072
201	41096	133868
202	41308	133692
203	41521	133519
204	41737	133355
205	41946	133171
206	42149	132965
207	42336	132710
208	42535	132491
209	42717	132219
210	42929	132043
211	43134	131844
212	43329	131617
213	43540	131434
214	43732	131198
215	43916	130935
216	44133	130774
217	44379	130694
218	44569	130451
219	44792	130304
220	45019	130170
221	45239	130013
222	45451	129831
223	45649	129611
224	45856	129416
225	46053	129193
226	46238	128937
227	46440	128730
228	46666	128587
229	46861	128359
230	47049	128113
231	47252	127908
232	47460	127715
233	47677	127546
234	47890	127369
235	48090	127153
236	48310	126992
237	48538	126852
238	48758	126689
239	48940	126430
240	49132	126195
241	49314	125935
242	49497	125678
243	49688	125441
244	49884	125220
245	50091	125025
246	50291	124812
247	50501	124625
248	50731	124484
249	50923	124253
250	51111	124010
251	51322	123826
252	51519	123606
253	51727	123411
254	51941	123233
255	52134	123003
256	52337	122800
257	52547	122611
258	52737	122375
259	52938	122166
260	53153	121989
261	53361	121794
262	53564	121590
263	53748	121341
264	53944	121121
265	54130	120877
266	54330	120667
267	54529	120452
268	54724	120231
269	54938	120049
270	55148	119861
271	55353	119661
272	55552	119448
273	55750	119231
274	55945	119011
275	56139	118787
276	56340	118578
277	56531	118351
278	56727	118130
279	56903	117872
280	57100	117655
281	57279	117403
282	57473	117180
283	57678	116980
284	57870	116755
285	58075	116557
286	58291	116379
287	58496	116179
288	58692	115963
289	58901	115771
290	59110	115579
291	59307	115366
292	59503	115149
293	59718	114968
294	59919	114760
295	60111	114537
296	60308	114322
297	60503	114104
298	60712	113911
299	60932	113740
300	61122	113513
301	61324	113307
302	61537	113122
303	61736	112912
304	61936	112704
305	62174	112563
306	62372	112352
307	62557	112116
308	62759	111911
309	62942	111671
310	63140	111459
311	63354	111275
312	63555	111070
313	63768	110884
314	63959	110660
315	64184	110494
316	64367	110257
317	64576	110063
318	64775	109854
