iter	Passed	Remaining
0	199	163814
1	367	150688
2	547	149701
3	713	146150
4	899	147209
5	1063	144845
6	1234	143945
7	1417	144434
8	1617	146252
9	1777	144489
10	1928	142327
11	2089	141185
12	2237	139392
13	2394	138358
14	2561	137962
15	2716	137015
16	2888	136933
17	3046	136266
18	3206	135704
19	3374	135475
20	3567	136261
21	3739	136160
22	3921	136414
23	4096	136389
24	4277	136536
25	4456	136621
26	4620	136219
27	4820	136864
28	4977	136275
29	5143	135953
30	5315	135810
31	5488	135669
32	5645	135152
33	5805	134715
34	5963	134260
35	6119	133782
36	6282	133454
37	6428	132805
38	6598	132652
39	6764	132416
40	6937	132312
41	7100	132043
42	7270	131885
43	7425	131464
44	7575	130979
45	7741	130760
46	7914	130677
47	8085	130541
48	8282	130830
49	8479	131092
50	8621	130511
51	8792	130361
52	8956	130122
53	9108	129707
54	9277	129544
55	9433	129204
56	9577	128712
57	9742	128503
58	9927	128558
59	10085	128257
60	10250	128048
61	10406	127729
62	10580	127636
63	10736	127326
64	10908	127209
65	11086	127158
66	11230	126717
67	11415	126744
68	11575	126490
69	11728	126161
70	11899	126034
71	12086	126073
72	12248	125840
73	12401	125525
74	12553	125200
75	12725	125078
76	12900	124985
77	13088	125009
78	13229	124587
79	13388	124344
80	13564	124255
81	13727	124048
82	13927	124171
83	14120	124224
84	14315	124292
85	14470	124012
86	14630	123772
87	14800	123617
88	14948	123283
89	15108	123051
90	15268	122818
91	15450	122761
92	15608	122515
93	15770	122302
94	15917	121977
95	16073	121724
96	16251	121638
97	16412	121420
98	16609	121468
99	16783	121347
100	16952	121184
101	17126	121063
102	17288	120851
103	17454	120672
104	17623	120511
105	17775	120233
106	17946	120088
107	18121	119967
108	18280	119745
109	18479	119783
110	18665	119729
111	18838	119591
112	18981	119262
113	19135	119006
114	19313	118901
115	19498	118837
116	19650	118576
117	19812	118368
118	19956	118064
119	20129	117923
120	20294	117740
121	20475	117650
122	20660	117579
123	20841	117486
124	21026	117410
125	21184	117187
126	21351	117012
127	21513	116810
128	21679	116634
129	21863	116547
130	22027	116356
131	22200	116216
132	22390	116162
133	22577	116089
134	22739	115889
135	22912	115740
136	23085	115595
137	23227	115296
138	23407	115183
139	23581	115045
140	23732	114791
141	23916	114696
142	24070	114461
143	24240	114300
144	24412	114148
145	24585	114004
146	24760	113866
147	24932	113711
148	25120	113630
149	25318	113595
150	25494	113459
151	25669	113318
152	25833	113128
153	26010	112994
154	26195	112895
155	26372	112759
156	26523	112515
157	26701	112381
158	26879	112249
159	27047	112077
160	27241	112013
161	27390	111761
162	27575	111656
163	27716	111371
164	27889	111220
165	28068	111090
166	28224	110870
167	28382	110659
168	28552	110493
169	28757	110460
170	28933	110321
171	29097	110129
172	29251	109905
173	29430	109771
174	29600	109607
175	29788	109508
176	29945	109293
177	30137	109207
178	30315	109067
179	30480	108881
180	30643	108691
181	30799	108475
182	30977	108335
183	31144	108160
184	31330	108048
185	31494	107860
186	31671	107716
187	31837	107534
188	32009	107374
189	32190	107244
190	32360	107076
191	32520	106876
192	32699	106739
193	32892	106647
194	33043	106417
195	33229	106301
196	33406	106153
197	33585	106013
198	33744	105813
199	33905	105616
200	34070	105430
201	34245	105278
202	34422	105133
203	34577	104917
204	34733	104710
205	34900	104533
206	35075	104378
207	35240	104195
208	35408	104023
209	35584	103873
210	35742	103671
211	35918	103519
212	36101	103390
213	36270	103217
214	36419	102991
215	36583	102807
216	36748	102626
217	36906	102424
218	37063	102220
219	37250	102101
220	37420	101933
221	37587	101757
222	37762	101602
